item_id,order_id,product_id,quantity,unit_price,discount_percent
545,205,256,4,373.46,26
469,175,85,4,635.89,0
1309,529,118,1,706.17,13
696,269,79,1,1553.86,0
1766,719,92,2,524.72,0
118,43,167,3,253.73,0
1159,468,446,5,316.49,0
1847,749,517,5,1949.66,4
1291,522,204,4,899.53,0
1865,755,13,5,691.94,0
1345,544,520,2,331.86,35
206,75,518,3,834.14,0
449,168,158,2,1298.28,0
1198,487,341,5,686.9,8
624,236,417,3,71.24,5
128,47,367,2,1004.52,10
240,92,298,3,822.71,0
2134,865,138,4,421.56,37
1432,576,388,5,803.67,0
907,358,208,4,1380.18,0
909,359,244,4,761.13,0
2011,813,412,3,889.82,3
885,348,375,2,843.59,7
733,286,42,2,432.68,0
440,166,304,4,1187.58,0
1573,636,124,5,276.54,0
1188,484,260,1,598.08,20
934,368,463,3,446.61,12
1034,413,204,3,1594.58,0
83,30,82,1,1047.89,0
831,326,330,2,1059.0,0
53,18,34,4,284.43,0
651,251,69,2,1152.56,0
1647,667,363,2,762.27,0
1321,533,347,-2,776.25,0
1069,428,406,3,230.45,38
896,353,279,2,573.67,1
324,123,392,5,438.65,0
1421,571,378,3,772.98,0
1557,630,201,1,748.6,29
867,339,232,2,908.58,0
2215,898,208,3,1698.24,6
607,228,164,4,1002.0,19
1584,641,298,5,835.03,0
1531,620,72,-5,111.15,28
1025,410,342,2,107.3,0
7,4,233,5,992.03,0
862,338,131,5,655.22,7
705,272,258,1,662.01,20
346,130,333,4,905.79,0
1843,747,15,5,593.4,14
1422,571,87,2,1579.35,0
188,70,271,5,411.26,2
2145,869,59,2,278.33,0
102,37,255,1,687.95,0
1497,604,18,3,1132.96,0
1656,671,342,3,101.52,8
1877,758,317,2,470.49,3
2213,896,156,4,19.2,7
1083,432,429,2,222.32,68
708,274,252,2,950.73,0
702,272,478,5,1036.64,31
792,311,284,3,86.2,0
231,87,238,4,1037.96,0
434,163,97,4,130.89,25
975,385,139,5,451.36,0
109,40,254,3,1098.86,0
1065,425,508,1,614.69,15
715,276,449,4,1550.7,20
375,140,327,5,1252.18,5
811,319,349,2,1432.41,9
1169,472,61,4,1511.29,0
738,287,509,2,1024.46,1
1813,736,327,5,819.29,0
1801,732,93,3,674.26,0
560,211,125,4,1118.87,86
1892,764,216,1,683.59,0
2211,896,93,1,855.56,0
992,391,366,3,837.98,39
2169,879,360,1,324.73,1
2070,836,438,2,1029.0,0
296,113,103,3,1429.29,16
1553,627,104,5,344.8,0
1396,562,171,5,400.19,0
2167,878,397,3,901.64,0
556,210,86,5,1557.92,14
1659,672,313,5,81.8,0
6,4,314,2,591.52,0
1611,652,110,3,705.42,0
597,225,66,3,477.68,0
1980,798,305,2,656.37,0
1276,518,329,3,1693.28,11
2177,882,266,3,596.16,59
1846,748,17,4,1136.73,0
646,249,397,5,689.68,0
1338,541,155,1,1036.9,0
960,378,348,1,487.21,16
2075,839,398,3,110.32,0
1282,519,221,4,1607.36,15
63,23,462,1,484.82,8
1862,754,239,5,531.31,3
1943,783,452,2,1155.01,26
1603,648,343,3,498.96,6
2094,847,210,4,359.77,7
1784,726,123,4,1007.68,5
1228,501,379,5,286.42,13
292,111,364,5,1191.34,5
1852,750,26,2,1000.6,35
789,310,255,2,454.37,4
2059,833,349,3,1688.68,0
135,49,69,-4,1202.82,0
1163,469,373,3,238.0,1
710,275,80,2,916.52,1
2139,867,246,4,1018.88,0
925,365,275,2,916.94,0
369,138,458,5,634.44,13
155,57,195,3,748.77,0
1772,720,375,1,928.67,0
1819,739,41,3,665.11,7
2119,857,8,2,771.72,30
537,202,422,5,1074.2,0
1889,763,329,4,1320.15,73
293,112,224,1,957.69,0
281,106,485,1,127.11,15
1664,675,455,2,900.46,26
1996,806,310,5,1889.49,0
1023,409,283,5,425.23,0
283,107,413,2,603.17,0
1189,484,249,3,1012.8,15
271,104,395,2,298.75,0
31,13,64,2,880.73,0
1438,578,380,5,520.46,39
927,366,39,5,1122.58,12
793,311,116,2,723.99,27
1782,726,247,5,500.71,84
373,140,101,5,691.52,0
380,142,199,2,9.21,0
238,90,212,1,130.56,0
347,130,256,2,466.29,0
1894,765,101,1,642.88,35
1071,429,185,4,925.45,15
1798,731,475,4,1527.68,5
772,302,43,5,1232.03,19
285,108,475,1,977.19,0
1097,438,462,4,334.17,0
1660,673,188,3,199.18,11
842,331,18,3,1296.55,31
2022,817,40,2,271.37,0
474,176,191,2,796.65,20
2187,885,298,4,1165.82,0
463,173,325,1,1000.56,0
1269,516,108,5,75.78,11
904,356,378,4,1330.95,0
327,124,264,2,578.13,0
667,256,346,3,663.34,0
1089,435,270,2,239.06,0
403,149,463,-1,496.98,0
1845,748,258,2,435.14,32
2180,883,418,3,971.22,0
445,167,232,4,792.35,0
408,151,28,1,47.52,8
905,357,69,1,1218.12,45
1388,560,10,4,1409.03,0
1668,677,182,1,406.9,0
1091,435,436,5,1172.58,0
971,384,209,-3,822.73,8
1114,447,218,2,735.83,0
1431,576,454,5,264.84,0
737,287,99,4,738.29,0
1972,794,230,2,276.58,13
604,227,425,2,710.19,1
299,114,520,4,288.58,0
1610,651,212,1,225.89,11
1790,728,185,3,1170.07,16
