order_id,customer_id,order_date,status,region_code,customer_id_missing
1,112,2024-03-26 17:29:58,CANCELLED,APAC-IN,False
2,154,2024-07-28 14:16:16,RETURNED,APAC-IN,False
3,,2026-06-04 13:08:40,SHIPPED,EU-EAST,True
4,2,2025-12-31 07:22:03,DELIVERED,NA-EAST,False
5,440,2025-02-20 11:52:03,DELIVERED,EU-EAST,False
6,101,2025-12-21 23:23:40,DELIVERED,NA-WEST,False
7,86,2025-05-15 00:56:48,DELIVERED,EU-WEST,False
8,8,2026-05-21 17:43:36,PLACED,APAC-SG,False
9,324,2025-11-26 02:50:57,SHIPPED,APAC-SG,False
10,268,2026-06-11 19:26:20,DELIVERED,EU-WEST,False
11,407,2025-01-11 10:15:00,DELIVERED,EU-EAST,False
12,496,2025-03-30 05:30:58,DELIVERED,APAC-SG,False
13,142,2024-09-01 23:50:20,DELIVERED,APAC-SG,False
14,103,2025-01-28 03:34:44,DELIVERED,APAC-IN,False
15,54,2024-11-05 16:44:50,DELIVERED,NA-EAST,False
16,483,2026-01-06 08:02:50,DELIVERED,EU-WEST,False
17,39,2025-10-19 00:42:43,DELIVERED,APAC-SG,False
18,59,2024-11-28 06:34:52,DELIVERED,NA-WEST,False
19,531,2025-05-19 07:05:44,DELIVERED,APAC-IN,False
20,238,2024-11-19 06:46:48,DELIVERED,APAC-SG,False
21,,2024-10-31 13:57:58,DELIVERED,EU-EAST,True
22,405,2025-11-20 20:18:27,DELIVERED,APAC-SG,False
23,93,2025-05-16 22:41:49,DELIVERED,APAC-IN,False
24,284,2025-02-15 12:54:29,SHIPPED,EU-EAST,False
25,268,2024-11-27 21:46:11,SHIPPED,NA-EAST,False
26,349,2024-08-29 18:24:41,RETURNED,APAC-IN,False
27,257,2026-01-17 19:36:40,DELIVERED,NA-WEST,False
28,470,2026-02-14 16:54:10,CANCELLED,EU-EAST,False
29,70,2025-10-16 11:05:33,RETURNED,APAC-SG,False
30,324,2025-12-01 16:21:16,DELIVERED,NA-EAST,False
31,270,2025-03-21 15:42:52,DELIVERED,APAC-SG,False
32,78,2024-12-03 06:25:51,DELIVERED,APAC-IN,False
33,195,2026-04-15 04:02:37,SHIPPED,NA-WEST,False
34,212,2025-02-20 01:28:34,SHIPPED,APAC-IN,False
35,110,2024-09-03 05:23:38,DELIVERED,APAC-SG,False
36,7,2026-06-20 03:36:43,CANCELLED,EU-WEST,False
37,505,2025-05-01 18:47:23,RETURNED,APAC-IN,False
38,228,2024-09-16 00:00:00,DELIVERED,EU-EAST,False
39,34,2026-04-20 13:38:01,CANCELLED,NA-WEST,False
40,124,2026-05-15 00:05:16,DELIVERED,NA-EAST,False
41,389,2024-08-04 12:09:04,DELIVERED,EU-WEST,False
42,270,2025-03-04 09:11:18,RETURNED,EU-WEST,False
43,511,2025-12-19 13:44:10,DELIVERED,EU-WEST,False
44,411,2025-05-09 09:20:40,DELIVERED,APAC-IN,False
45,103,2025-04-24 08:25:55,DELIVERED,EU-EAST,False
46,154,2026-03-05 18:14:03,SHIPPED,EU-EAST,False
47,530,2026-06-08 12:18:49,DELIVERED,EU-WEST,False
48,49,2025-11-09 21:29:58,SHIPPED,NA-WEST,False
