product_id,product_name,category,subcategory,cost_price
1,Essential Camera Tv,Electronics,Cameras,514.6
2,Classic Bedding Baby,Home,Bedding,548.94
3,Premium Bedding Cup,Home,Bedding,128.99
4,Compact Academic Summer,Books,Academic,486.51
5,Essential Decor Sort,Home,Decor,278.26
6,Ultra Non-Fiction People,Books,Non-Fiction,450.64
7,COMPACT FURNITURE SHAKE,Home,Furniture,115.28
8,Compact Audio Remain,Electronics,Audio,336.25
9,Pro Kid Operation,Clothing,Kids,154.3
10,Pro Footwear Director,Clothing,Footwear,703.62
11,Premium Fiction Measure,Books,Fiction,405.84
12,Pro Women Detail,Clothing,Women,43.28
13,Ultra Children True,Books,Children,378.06
14,  Compact Mobile What   ,Electronics,Mobiles,294.52
15,Premium Comic Go,Books,Comics,457.51
16,Pro Kid Floor,Clothing,Kids,310.92
17,Deluxe Children When,Books,Children,499.72
18,Premium Laptop Administration,Electronics,Laptops,636.53
19,Deluxe Storage Development,Home,Storage,161.65
20,  Premium Children Write   ,Books,Children,268.43
21,compact children customer,Books,Children,114.41
22,Compact Furniture Site,Home,Furniture,592.24
23,Deluxe Storage Buy,Home,Storage,409.24
24,Deluxe Children Skin,Books,Children,16.26
25,Compact Kitchen Somebody,Home,Kitchen,638.01
26,Compact Accessorie Measure,Electronics,Accessories,525.51
27,Pro Men Who,Clothing,Men,420.81
28,Ultra Non-Fiction Eight,Books,Non-Fiction,28.16
29,Premium Laptop Safe,Electronics,Laptops,336.77
30,Compact Non-Fiction Pm,Books,Non-Fiction,490.35
31,  Essential Fiction Score   ,Books,Fiction,262.06
32,Compact Children Democratic,Books,Children,141.03
33,Deluxe Storage Industry,Home,Storage,694.52
34,Compact Storage Whole,Home,Storage,199.48
35,Deluxe Furniture Education,Home,Furniture,564.81
36,Compact Comic Old,Books,Comics,747.16
37,Premium Decor Fund,Home,Decor,435.92
38,Ultra Comic Stand,Books,Comics,234.49
39,Deluxe Kitchen Fear,Home,Kitchen,525.81
40,Classic Non-Fiction Husband,Books,Non-Fiction,219.09
41,Premium Furniture Man,Home,Furniture,470.7
42,Essential Men None,Clothing,Men,182.86
43,Premium Men Range,Clothing,Men,574.73
44,Premium Laptop Her,Electronics,Laptops,782.39
45,Essential Footwear Foot,Clothing,Footwear,703.08
46,Ultra Non-Fiction Every,Books,Non-Fiction,258.97
47,Essential Mobile Here,Electronics,Mobiles,429.52
48,Compact Laptop Must,Electronics,Laptops,143.1
49,Ultra Camera Us,Electronics,Cameras,749.48
50,Premium Kitchen Modern,Home,Kitchen,483.42
51,Compact Decor Man,Home,Decor,436.01
52,Ultra Non-Fiction Billion,Books,Non-Fiction,220.45
53,Classic Audio Suggest,Electronics,Audio,519.68
54,Essential Men Seven,Clothing,Men,238.13
55,Pro Women Manager,Clothing,Women,717.94
56,DELUXE CHILDREN SORT,Books,Children,150.27
57,Deluxe Footwear Those,Clothing,Footwear,8.44
58,Compact Non-Fiction Front,Books,Non-Fiction,763.37
59,Essential Storage Who,Home,Storage,211.46
60,Premium Furniture Democrat,Home,Furniture,373.92
61,Essential Footwear Hospital,Clothing,Footwear,716.41
62,Essential Kitchen Form,Home,Kitchen,238.14
63,Classic Women Job,Clothing,Women,365.62
64,Essential Bedding Answer,Home,Bedding,378.25
65,Essential Women Order,Clothing,Women,698.89
66,Compact Accessorie Treat,Electronics,Accessories,291.34
67,Ultra Mobile Do,Electronics,Mobiles,405.87
68,Deluxe Women Site,Clothing,Women,355.15
69,COMPACT WINTERWEAR CHILD,Clothing,Winterwear,647.53
70,Pro Non-Fiction Admit,Books,Non-Fiction,452.44
71,  Essential Comic Every   ,Books,Comics,5.4
72,PREMIUM WINTERWEAR ON,Clothing,Winterwear,53.82
73,COMPACT MOBILE WORRY,Electronics,Mobiles,615.87
74,Compact Comic Pattern,Books,Comics,733.94
75,Premium Academic Particularly,Books,Academic,530.45
76,Premium Kid Service,Clothing,Kids,431.2
77,  Ultra Women Key   ,Clothing,Women,240.8
78,Compact Children Find,Books,Children,200.27
79,Deluxe Furniture Claim,Home,Furniture,700.54
80,Ultra Mobile Deal,Electronics,Mobiles,493.09
81,CLASSIC LAPTOP GIRL,Electronics,Laptops,358.81
82,ESSENTIAL LAPTOP DRUG,Electronics,Laptops,433.19
83,Pro Laptop Hundred,Electronics,Laptops,189.63
84,Pro Storage Over,Home,Storage,655.25
85,Classic Kid These,Clothing,Kids,418.44
86,deluxe comic else,Books,Comics,704.13
87,Pro Footwear Money,Clothing,Footwear,777.92
88,Deluxe Children Oil,Books,Children,328.38
89,Classic Bedding Real,Home,Bedding,380.39
90,Ultra Kid Yet,Clothing,Kids,645.2
91,Compact Accessorie Reveal,Electronics,Accessories,447.16
92,Classic Footwear Green,Clothing,Footwear,266.22
93,Ultra Camera Even,Electronics,Cameras,429.9
94,Deluxe Men Source,Clothing,Men,485.16
95,Classic Mobile Term,Electronics,Mobiles,471.3
96,Classic Footwear Middle,Clothing,Footwear,268.37
97,Classic Laptop Several,Electronics,Laptops,96.5
98,Essential Non-Fiction Quality,Books,Non-Fiction,166.0
99,Deluxe Winterwear Sister,Clothing,Winterwear,306.39
100,Deluxe Decor Military,Home,Decor,706.6
101,Ultra Fiction Magazine,Books,Fiction,377.18
102,Deluxe Furniture Concern,Home,Furniture,39.44
103,Premium Women Significant,Clothing,Women,748.0
104,Classic Comic Stuff,Books,Comics,186.32
105,Pro Footwear He,Clothing,Footwear,548.82
106,Essential Bedding Condition,Home,Bedding,394.0
107,CLASSIC KID CHALLENGE,Clothing,Kids,149.69
108,Premium Accessorie Service,Electronics,Accessories,62.24
109,COMPACT MOBILE OFFICE,Electronics,Mobiles,57.17
110,Classic Men Middle,Clothing,Men,300.44
111,PREMIUM ACADEMIC CREATE,Books,Academic,12.45
112,deluxe storage whom,Home,Storage,540.2
113,Premium Men Visit,Clothing,Men,195.05
114,Deluxe Decor Occur,Home,Decor,65.98
115,Pro Academic Quality,Books,Academic,558.7
116,Essential Kitchen Artist,Home,Kitchen,520.97
117,Compact Mobile Need,Electronics,Mobiles,443.5
118,Essential Mobile Along,Electronics,Mobiles,401.39
119,Pro Comic Those,Books,Comics,779.15
120,Classic Laptop Throw,Electronics,Laptops,554.75
121,Premium Comic Bad,Books,Comics,548.49
122,Pro Storage You,Home,Storage,145.95
123,Classic Kitchen Television,Home,Kitchen,602.55
124,Deluxe Fiction Relate,Books,Fiction,194.66
125,Deluxe Children Anything,Books,Children,592.58
126,Essential Accessorie South,Electronics,Accessories,45.8
127,ULTRA NON-FICTION ACCORDING,Books,Non-Fiction,492.25
128,Premium Comic Itself,Books,Comics,627.49
129,Classic Academic Certain,Books,Academic,753.09
130,Essential Non-Fiction Thousand,Books,Non-Fiction,305.92
131,  Essential Furniture Professor   ,Home,Furniture,305.86
132,Deluxe Footwear During,Clothing,Footwear,75.94
133,Deluxe Bedding Author,Home,Bedding,84.48
134,Compact Laptop Second,Electronics,Laptops,445.13
135,PREMIUM FICTION CITY,Books,Fiction,478.75
136,Premium Bedding Act,Home,Bedding,312.08
137,Classic Accessorie Discover,Electronics,Accessories,138.16
138,Classic Non-Fiction Mouth,Books,Non-Fiction,216.92
139,Classic Men Lose,Clothing,Men,338.62
140,Deluxe Fiction Hour,Books,Fiction,199.53
141,Pro Children As,Books,Children,88.26
142,Compact Kitchen Prepare,Home,Kitchen,497.29
143,Deluxe Bedding Pull,Home,Bedding,659.36
144,Deluxe Kid Reflect,Clothing,Kids,557.15
145,Classic Comic World,Books,Comics,775.07
146,Pro Bedding Practice,Home,Bedding,262.73
147,DELUXE BEDDING WHILE,Home,Bedding,475.0
148,Premium Winterwear Meeting,Clothing,Winterwear,370.91
149,Ultra Footwear Receive,Clothing,Footwear,555.19
150,Classic Academic Method,Books,Academic,195.89
151,Ultra Footwear Admit,Clothing,Footwear,360.91
152,Compact Children According,Books,Children,739.03
153,Premium Children Night,Books,Children,289.55
154,Ultra Mobile Ok,Electronics,Mobiles,532.76
155,Premium Winterwear Its,Clothing,Winterwear,517.09
156,Ultra Comic Actually,Books,Comics,11.41
157,Pro Furniture Adult,Home,Furniture,447.72
158,Deluxe Footwear Next,Clothing,Footwear,618.56
159,Premium Kid Seven,Clothing,Kids,238.46
160,Ultra Mobile Face,Electronics,Mobiles,115.92
161,Compact Decor North,Home,Decor,418.33
162,Premium Bedding Few,Home,Bedding,558.32
163,deluxe kitchen adult,Home,Kitchen,21.0
164,Essential Kitchen Morning,Home,Kitchen,744.15
165,Classic Winterwear Tax,Clothing,Winterwear,266.8
166,Classic Academic Save,Books,Academic,504.92
167,COMPACT FOOTWEAR REPRESENT,Clothing,Footwear,160.27
168,Premium Academic Law,Books,Academic,167.01
169,Premium Accessorie Sure,Electronics,Accessories,430.9
170,Classic Decor Yard,Home,Decor,212.1
171,Essential Children Where,Books,Children,312.75
172,Premium Children Country,Books,Children,676.88
173,Pro Kid Both,Clothing,Kids,538.67
174,Classic Kitchen Why,Home,Kitchen,148.89
175,Compact Winterwear Big,Clothing,Winterwear,112.88
176,Classic Academic Need,Books,Academic,431.29
177,Classic Winterwear Church,Clothing,Winterwear,114.82
178,PRO BEDDING EFFECT,Home,Bedding,10.64
179,Ultra Women Dark,Clothing,Women,450.58
180,Essential Academic President,Books,Academic,568.98
181,  Classic Academic New   ,Books,Academic,609.56
182,Deluxe Kitchen Entire,Home,Kitchen,233.07
183,Essential Children Teacher,Books,Children,397.76
184,Premium Accessorie Health,Electronics,Accessories,435.86
185,Ultra Storage Example,Home,Storage,608.72
186,Classic Children Stuff,Books,Children,84.63
187,Ultra Kid Industry,Clothing,Kids,361.44
188,Compact Kitchen Bar,Home,Kitchen,96.56
189,Ultra Women Hour,Clothing,Women,552.24
190,  Pro Non-Fiction Into   ,Books,Non-Fiction,167.93
191,Deluxe Accessorie Machine,Electronics,Accessories,478.7
192,Essential Kid Other,Clothing,Kids,459.47
193,Ultra Laptop Either,Electronics,Laptops,735.26
194,Essential Furniture Same,Home,Furniture,201.99
195,Ultra Furniture Draw,Home,Furniture,315.98
196,Essential Winterwear First,Clothing,Winterwear,333.14
197,Essential Fiction Return,Books,Fiction,615.8
198,Essential Children Their,Books,Children,749.26
199,Compact Bedding Thus,Home,Bedding,4.97
200,Essential Camera Be,Electronics,Cameras,288.5
201,Compact Accessorie Ready,Electronics,Accessories,345.43
202,Deluxe Footwear Toward,Clothing,Footwear,229.02
203,Ultra Winterwear Rate,Clothing,Winterwear,276.96
204,Premium Mobile Song,Electronics,Mobiles,669.85
205,Ultra Mobile Almost,Electronics,Mobiles,366.84
206,Essential Non-Fiction Better,Books,Non-Fiction,706.07
207,Ultra Furniture Into,Home,Furniture,221.39
208,Premium Decor Hundred,Home,Decor,723.33
209,Compact Men Huge,Clothing,Men,581.61
210,  Essential Footwear Old   ,Clothing,Footwear,173.1
211,Pro Laptop Maybe,Electronics,Laptops,544.95
212,Essential Mobile Arrive,Electronics,Mobiles,99.11
213,COMPACT NON-FICTION PUBLIC,Books,Non-Fiction,585.42
214,Deluxe Mobile Act,Electronics,Mobiles,241.51
215,Essential Non-Fiction Scientist,Books,Non-Fiction,116.85
216,Essential Accessorie Congress,Electronics,Accessories,282.9
217,Compact Women Beautiful,Clothing,Women,355.58
218,  Premium Men Money   ,Clothing,Men,584.82
219,Deluxe Bedding Through,Home,Bedding,200.49
220,Pro Laptop Leader,Electronics,Laptops,577.78
221,Ultra Kitchen Quite,Home,Kitchen,701.03
222,Pro Winterwear Still,Clothing,Winterwear,599.03
223,Ultra Kitchen Glass,Home,Kitchen,763.87
224,Premium Academic Others,Books,Academic,511.55
225,Premium Accessorie Toward,Electronics,Accessories,747.34
226,Ultra Footwear Beyond,Clothing,Footwear,338.43
227,ULTRA FOOTWEAR WANT,Clothing,Footwear,13.99
228,Premium Men News,Clothing,Men,320.19
229,Ultra Storage Wide,Home,Storage,562.34
230,Pro Accessorie And,Electronics,Accessories,224.14
231,Pro Kitchen Drug,Home,Kitchen,779.53
232,Deluxe Winterwear Development,Clothing,Winterwear,508.53
233,Essential Audio Wear,Electronics,Audio,762.88
234,CLASSIC MEN TRIP,Clothing,Men,364.34
235,Essential Audio Role,Electronics,Audio,593.3
236,  Essential Mobile Very   ,Electronics,Mobiles,398.64
237,Pro Storage Our,Home,Storage,577.45
238,Classic Kid May,Clothing,Kids,699.15
239,Deluxe Mobile Experience,Electronics,Mobiles,219.77
240,Essential Audio Any,Electronics,Audio,503.14
241,Pro Academic Window,Books,Academic,401.19
242,Classic Kid Bad,Clothing,Kids,85.02
243,Essential Laptop Return,Electronics,Laptops,38.1
244,Premium Laptop Wish,Electronics,Laptops,308.23
245,ultra women fast,Clothing,Women,572.07
246,Deluxe Non-Fiction Way,Books,Non-Fiction,732.94
247,ULTRA DECOR OF,Home,Decor,403.13
248,Classic Laptop Organization,Electronics,Laptops,785.19
249,Compact Fiction Really,Books,Fiction,619.5
250,Premium Decor Alone,Home,Decor,9.35
251,Pro Kid Country,Clothing,Kids,592.44
252,Deluxe Footwear Woman,Clothing,Footwear,396.21
253,Ultra Winterwear To,Clothing,Winterwear,123.0
254,Classic Fiction Forward,Books,Fiction,509.85
255,Premium Audio Admit,Electronics,Audio,302.89
256,Classic Kitchen Despite,Home,Kitchen,192.82
257,Classic Fiction People,Books,Fiction,77.14
258,Compact Winterwear Charge,Clothing,Winterwear,299.88
259,Premium Accessorie Soldier,Electronics,Accessories,510.86
260,Pro Fiction Tend,Books,Fiction,349.68
261,Deluxe Women Seem,Clothing,Women,254.06
262,Deluxe Comic Tend,Books,Comics,189.19
263,Ultra Women Information,Clothing,Women,89.85
264,Compact Laptop Woman,Electronics,Laptops,326.99
265,Compact Furniture Ball,Home,Furniture,214.21
266,Classic Mobile Firm,Electronics,Mobiles,245.46
267,Ultra Laptop Commercial,Electronics,Laptops,121.21
268,Compact Kid Organization,Clothing,Kids,542.72
269,Premium Furniture Effect,Home,Furniture,684.12
270,compact men our,Clothing,Men,99.8
271,Classic Laptop They,Electronics,Laptops,322.26
272,Pro Accessorie Time,Electronics,Accessories,650.76
273,Classic Mobile Improve,Electronics,Mobiles,356.41
274,Ultra Men Research,Clothing,Men,267.25
275,Premium Camera Watch,Electronics,Cameras,460.39
276,Premium Academic Now,Books,Academic,343.05
277,Classic Furniture Glass,Home,Furniture,358.47
278,Pro Men If,Clothing,Men,198.89
279,Compact Bedding Someone,Home,Bedding,384.79
280,  Compact Audio Sister   ,Electronics,Audio,708.07
281,ULTRA WINTERWEAR CHALLENGE,Clothing,Winterwear,571.56
282,Ultra Children Street,Books,Children,730.4
283,Deluxe Bedding Risk,Home,Bedding,257.15
284,Ultra Men Shake,Clothing,Men,49.7
285,Deluxe Children Bar,Books,Children,799.69
286,Classic Men Month,Clothing,Men,215.42
287,Pro Laptop Skill,Electronics,Laptops,638.52
288,Classic Furniture Half,Home,Furniture,256.45
289,Premium Storage Argue,Home,Storage,283.29
290,Classic Winterwear Billion,Clothing,Winterwear,648.89
291,Deluxe Children Leave,Books,Children,33.26
292,Pro Laptop Each,Electronics,Laptops,422.58
293,Pro Audio This,Electronics,Audio,107.0
294,PREMIUM KID BAG,Clothing,Kids,734.03
295,Ultra Accessorie Grow,Electronics,Accessories,60.81
296,Premium Children Point,Books,Children,260.11
297,Ultra Footwear Specific,Clothing,Footwear,391.3
298,Essential Furniture Positive,Home,Furniture,555.77
299,Essential Furniture Physical,Home,Furniture,142.76
300,Classic Decor Industry,Home,Decor,4.43
301,Premium Children Staff,Books,Children,256.62
302,Premium Winterwear General,Clothing,Winterwear,115.09
303,Deluxe Laptop All,Electronics,Laptops,136.81
304,  Compact Audio Protect   ,Electronics,Audio,555.46
305,  Ultra Decor Explain   ,Home,Decor,310.59
306,Compact Non-Fiction Step,Books,Non-Fiction,304.83
307,Ultra Fiction Little,Books,Fiction,691.65
308,compact women military,Clothing,Women,238.04
309,  Premium Decor Drive   ,Home,Decor,302.24
310,Premium Accessorie Heart,Electronics,Accessories,788.27
311,Compact Fiction On,Books,Fiction,134.5
312,  Premium Non-Fiction Yeah   ,Books,Non-Fiction,154.42
313,Deluxe Decor How,Home,Decor,42.56
314,Premium Non-Fiction Lay,Books,Non-Fiction,343.8
315,Compact Storage Cultural,Home,Storage,23.51
316,Premium Kid Response,Clothing,Kids,95.06
317,Compact Academic Pay,Books,Academic,214.21
318,Deluxe Non-Fiction Recent,Books,Non-Fiction,297.41
319,Deluxe Fiction Husband,Books,Fiction,212.93
320,Premium Storage Bed,Home,Storage,558.09
321,Essential Mobile Sport,Electronics,Mobiles,434.53
322,Premium Winterwear Present,Clothing,Winterwear,655.27
323,Essential Children Find,Books,Children,381.44
324,deluxe footwear success,Clothing,Footwear,572.3
325,Ultra Men Employee,Clothing,Men,759.4
326,Ultra Women Sell,Clothing,Women,37.01
327,Classic Camera Back,Electronics,Cameras,502.9
328,Essential Decor Beautiful,Home,Decor,56.41
329,Compact Children Executive,Books,Children,685.73
330,Ultra Fiction Class,Books,Fiction,471.3
331,COMPACT FICTION HUSBAND,Books,Fiction,467.39
332,Pro Mobile Seek,Electronics,Mobiles,629.24
333,Deluxe Bedding Step,Home,Bedding,390.01
334,Classic Fiction Protect,Books,Fiction,117.65
335,Compact Fiction Class,Books,Fiction,267.2
336,Essential Men Sister,Clothing,Men,217.06
337,Deluxe Kitchen Improve,Home,Kitchen,244.53
338,Ultra Bedding Free,Home,Bedding,81.28
339,Deluxe Women Herself,Clothing,Women,356.16
340,Essential Decor Both,Home,Decor,517.51
341,Classic Footwear Benefit,Clothing,Footwear,327.51
342,Ultra Children Accept,Books,Children,47.8
343,Deluxe Men Yes,Clothing,Men,324.5
