log_id,delivery_id,drone_id,battery_level,gps_signal,status
1,1,22,58.8,40.8,SUCCESS
2,2,9,49.1,57.7,SUCCESS
3,3,11,87.6,59.9,SUCCESS
4,4,13,71.8,49.8,SUCCESS
5,5,14,81.0,34.4,FAILED_SIGNAL
6,6,4,45.8,38.3,SUCCESS
7,7,15,56.6,38.9,SUCCESS
8,8,18,84.4,31.7,SUCCESS
9,9,24,60.5,84.5,SUCCESS
10,10,21,79.1,99.6,SUCCESS
11,11,1,58.4,77.6,SUCCESS
12,12,10,80.2,65.0,SUCCESS
13,13,3,84.7,75.2,SUCCESS
14,14,20,45.9,58.1,SUCCESS
15,15,22,50.0,46.8,SUCCESS
16,16,19,65.8,94.5,SUCCESS
17,17,2,76.3,29.7,SUCCESS
18,18,19,77.9,35.9,SUCCESS
19,19,14,59.4,34.0,SUCCESS
20,20,4,63.0,73.9,SUCCESS
21,21,15,79.2,91.2,SUCCESS
22,22,18,48.0,70.5,SUCCESS
23,23,8,75.3,84.6,SUCCESS
24,24,1,25.2,65.7,SUCCESS
25,25,18,84.5,33.0,FAILED_SIGNAL
26,26,24,91.4,43.3,SUCCESS
27,27,17,87.5,41.7,SUCCESS
28,28,19,59.3,49.1,SUCCESS
29,29,9,74.0,53.1,SUCCESS
30,30,25,76.9,78.2,SUCCESS
31,31,9,29.4,76.1,SUCCESS
32,32,23,94.7,28.2,FAILED_SIGNAL
33,33,5,37.1,63.9,FAILED_WEATHER
34,34,23,45.1,81.2,SUCCESS
35,35,2,45.6,32.4,SUCCESS
36,36,9,48.3,44.7,SUCCESS
37,37,23,92.4,70.1,SUCCESS
38,38,10,45.6,22.3,SUCCESS
39,39,18,28.1,46.0,SUCCESS
40,40,14,42.8,63.2,SUCCESS
41,41,24,79.8,97.6,SUCCESS
42,42,8,82.8,67.8,SUCCESS
43,43,7,72.9,65.1,SUCCESS
44,44,13,37.7,44.8,SUCCESS
45,45,9,56.7,84.4,SUCCESS
46,46,17,62.3,40.8,SUCCESS
47,47,18,70.3,85.2,SUCCESS
48,48,4,75.3,57.5,FAILED_WEATHER
49,49,7,50.0,95.8,SUCCESS
50,50,1,84.9,54.4,SUCCESS
51,51,15,72.9,20.6,FAILED_SIGNAL
52,52,22,84.6,64.8,SUCCESS
53,53,5,81.7,79.0,SUCCESS
54,54,21,50.2,41.0,SUCCESS
55,55,1,86.5,81.2,SUCCESS
56,56,8,79.8,74.8,SUCCESS
57,57,25,59.6,84.7,SUCCESS
58,58,15,39.4,34.6,FAILED_SIGNAL
59,59,9,51.1,69.4,SUCCESS
60,60,5,71.0,35.0,FAILED_WEATHER
61,61,18,91.4,62.8,SUCCESS
62,62,23,62.2,41.5,SUCCESS
63,63,14,47.3,38.6,SUCCESS
64,64,13,49.7,47.4,SUCCESS
65,65,1,85.8,99.8,SUCCESS
66,66,13,59.3,46.4,SUCCESS
67,67,14,64.5,24.5,SUCCESS
68,68,21,65.8,57.6,SUCCESS
69,69,5,60.8,85.4,SUCCESS
70,70,20,68.2,81.5,SUCCESS
71,71,10,61.8,55.4,SUCCESS
72,72,8,49.0,56.9,SUCCESS
73,73,2,76.8,98.6,SUCCESS
74,74,14,62.5,45.0,SUCCESS
75,75,14,29.3,23.4,SUCCESS
76,76,15,68.2,40.3,SUCCESS
77,77,8,80.3,91.0,SUCCESS
78,78,9,47.2,29.0,SUCCESS
79,79,7,55.7,33.4,FAILED_SIGNAL
80,80,23,61.1,83.1,FAILED_WEATHER
81,81,22,69.6,82.7,SUCCESS
82,82,12,78.8,49.7,SUCCESS
83,83,18,80.0,27.3,SUCCESS
84,84,20,58.5,99.8,SUCCESS
85,85,18,94.3,71.6,SUCCESS
86,86,25,47.7,30.1,FAILED_SIGNAL
87,87,2,78.9,83.1,SUCCESS
88,88,2,43.7,55.1,SUCCESS
89,89,14,37.7,48.7,SUCCESS
90,90,14,52.0,58.8,SUCCESS
91,91,9,80.7,75.8,SUCCESS
92,92,20,92.1,47.8,SUCCESS
93,93,22,61.1,86.5,SUCCESS
94,94,4,64.9,25.5,FAILED_SIGNAL
95,95,10,61.8,41.1,SUCCESS
96,96,17,76.1,71.0,SUCCESS
97,97,9,76.9,21.5,SUCCESS
98,98,25,36.0,39.1,SUCCESS
99,99,6,58.3,63.1,SUCCESS
100,100,11,74.6,59.8,SUCCESS
101,101,25,60.7,45.8,SUCCESS
102,102,17,65.6,61.9,SUCCESS
103,103,21,72.8,30.4,SUCCESS
104,104,16,50.0,58.8,SUCCESS
105,105,1,87.3,86.9,SUCCESS
106,106,5,64.5,76.1,SUCCESS
107,107,15,66.1,68.5,SUCCESS
108,108,9,29.9,36.7,SUCCESS
109,109,19,40.1,26.4,SUCCESS
110,110,18,44.1,64.6,SUCCESS
111,111,8,76.5,49.5,SUCCESS
112,112,22,23.9,41.3,FAILED_WEATHER
113,113,15,42.4,44.3,SUCCESS
114,114,5,40.9,27.8,SUCCESS
115,115,11,27.4,35.2,SUCCESS
