Category,unit_price,Rating,Stock Available,Discount
B,4004.0,3.0405392671861478,In Stock,0.0
B,1817.0,3.0405392671861478,Out of Stock,23.0
C,667.0,3.6683407484908157,In Stock,41.0
A,7125.0,4.983998118378299,Out of Stock,7.0
A,2777.0,2.678384421487482,In Stock,6.0
A,3772.0,4.890749963096654,In Stock,45.0
B,7719.0,2.9822417824846874,In Stock,4.0
A,7936.0,3.032832041059039,In Stock,44.0
B,9319.0,3.4790635118573126,In Stock,28.0
C,5024.705208333334,3.0405392671861478,Out of Stock,25.0
B,4176.0,2.264050691550675,In Stock,42.0
D,407.0,2.7742698776847985,In Stock,44.0
B,7011.0,3.0405392671861478,In Stock,38.0
B,3405.0,3.0405392671861478,In Stock,48.0
B,5850.0,2.2643931005643094,Out of Stock,43.0
B,704.0,3.0405392671861478,In Stock,47.0
B,2343.0,1.8632245113185228,Out of Stock,17.0
B,1910.0,3.8494948825094535,Out of Stock,14.0
B,9307.0,3.0405392671861478,Out of Stock,21.0
D,6164.0,4.305789482267322,Out of Stock,1.0
B,8060.0,1.9058024886644622,Out of Stock,43.0
B,4730.0,3.0405392671861478,In Stock,30.0
B,1112.0,3.0405392671861478,In Stock,38.0
B,4390.0,3.0405392671861478,In Stock,34.0
B,8484.0,3.0405392671861478,Out of Stock,36.0
D,6415.0,4.984170226351978,Out of Stock,12.0
B,4589.0,3.0405392671861478,Out of Stock,47.0
A,2260.0,3.0405392671861478,In Stock,37.0
B,7190.0,1.9243054921681804,In Stock,24.53860160233066
B,8675.0,2.778260648243727,Out of Stock,24.53860160233066
B,5412.0,3.0405392671861478,Out of Stock,24.0
C,9870.0,2.8036864935783328,Out of Stock,37.0
C,1134.0,2.886833030618752,In Stock,15.0
B,9795.0,3.0405392671861478,In Stock,17.0
B,3445.0,3.0405392671861478,In Stock,3.0
B,8421.0,1.338253810015713,In Stock,2.0
B,3236.0,4.951183214408314,Out of Stock,2.0
B,1624.0,3.0405392671861478,Out of Stock,34.0
B,8773.0,1.865998304807294,Out of Stock,17.0
D,3977.0,3.0405392671861478,Out of Stock,32.0
A,5006.0,3.8356362737695107,Out of Stock,24.53860160233066
B,1066.0,3.0405392671861478,Out of Stock,10.0
B,1788.0,3.0405392671861478,Out of Stock,7.0
B,6249.0,3.0405392671861478,In Stock,16.0
B,8631.0,3.3084805096007273,In Stock,10.0
B,5024.705208333334,4.036652101229622,In Stock,33.0
D,642.0,1.5983454005426196,Out of Stock,28.0
B,4222.0,4.213202927733002,In Stock,20.0
A,1962.0,4.976201301561568,In Stock,6.0
B,1441.0,3.4146348641996194,In Stock,43.0
B,6884.0,3.0405392671861478,In Stock,49.0
B,6114.0,3.0405392671861478,In Stock,44.0
B,8117.0,3.0405392671861478,In Stock,45.0
B,5024.705208333334,2.581053762448872,Out of Stock,36.0
A,4077.0,3.0405392671861478,Out of Stock,28.0
D,2877.0,3.1301621702727505,Out of Stock,49.0
B,3282.0,3.0405392671861478,Out of Stock,40.0
D,9493.0,2.7804614226232114,Out of Stock,34.0
B,7187.0,3.0405392671861478,In Stock,12.0
B,1561.0,2.8560894572721987,In Stock,6.0
A,4752.0,4.589987920715608,In Stock,1.0
B,4502.0,3.0405392671861478,In Stock,40.0
B,5024.705208333334,3.0405392671861478,In Stock,1.0
B,578.0,3.688162019635981,Out of Stock,36.0
B,3137.0,2.530595786094526,Out of Stock,49.0
C,7417.0,3.516107651706844,In Stock,43.0
B,6122.0,2.5677161236461608,In Stock,15.0
B,1362.0,3.9136540296959086,Out of Stock,24.53860160233066
B,6562.0,3.6193144852124504,Out of Stock,3.0
C,6879.0,3.0405392671861478,In Stock,8.0
C,3182.0,4.874851836156545,In Stock,49.0
B,5427.0,3.0405392671861478,Out of Stock,15.0
B,9161.0,2.602243654999287,In Stock,49.0
B,5821.0,1.1686904441361419,Out of Stock,17.0
B,9990.0,3.0405392671861478,Out of Stock,19.0
B,9160.0,4.392384246470518,Out of Stock,29.0
C,2122.0,4.86095167402677,Out of Stock,29.0
B,8731.0,3.0405392671861478,Out of Stock,38.0
D,5031.0,3.0405392671861478,In Stock,4.0
A,6557.0,3.0405392671861478,Out of Stock,32.0
B,9459.0,3.490351838179834,Out of Stock,42.0
B,6345.0,3.0405392671861478,Out of Stock,4.0
B,4781.0,3.236473832492795,Out of Stock,3.0
B,8345.0,3.0405392671861478,Out of Stock,41.0
A,5459.0,3.0405392671861478,Out of Stock,33.0
A,8521.0,1.081564565083486,Out of Stock,40.0
B,2649.0,1.9854449132554999,In Stock,25.0
D,357.0,3.0405392671861478,Out of Stock,32.0
B,9799.0,3.0405392671861478,Out of Stock,34.0
A,8251.0,4.052873659464407,In Stock,28.0
A,9825.0,3.0405392671861478,Out of Stock,22.0
B,6442.0,3.0405392671861478,In Stock,34.0
B,4061.0,2.8828583299542037,In Stock,28.0
B,190.0,3.0405392671861478,In Stock,0.0
B,4643.0,3.1935274285935162,In Stock,4.0
B,5219.0,3.0405392671861478,Out of Stock,49.0
B,1197.0,1.3007193796865226,Out of Stock,24.53860160233066
B,8205.0,4.755317544912339,Out of Stock,35.0
D,7239.0,3.6103940069190337,In Stock,48.0
B,262.0,3.0405392671861478,In Stock,36.0
B,7826.0,3.576635436154038,In Stock,6.0
B,8532.0,4.6303470713260335,In Stock,42.0
D,4625.0,1.7181431635508821,In Stock,36.0
B,5908.0,3.0405392671861478,In Stock,42.0
B,8458.0,3.0405392671861478,In Stock,18.0
B,758.0,1.24949775543227,In Stock,28.0
B,3169.0,2.619334913499717,In Stock,25.0
C,7953.0,1.572071265516846,In Stock,39.0
B,8793.0,3.0064024532140046,Out of Stock,6.0
D,9114.0,3.0405392671861478,In Stock,27.0
B,8893.0,2.5193505429065683,In Stock,24.53860160233066
A,1269.0,3.0405392671861478,In Stock,38.0
B,8069.0,3.0405392671861478,In Stock,31.0
A,5515.0,4.709544999960464,Out of Stock,24.53860160233066
B,2584.0,3.0405392671861478,Out of Stock,1.0
C,7911.0,2.7657386196907554,Out of Stock,37.0
D,6799.0,3.0405392671861478,Out of Stock,29.0
B,9424.0,1.0760737682485182,Out of Stock,24.53860160233066
B,8409.0,1.696635601842893,Out of Stock,29.0
B,9063.0,3.624530680172045,Out of Stock,24.53860160233066
B,8405.0,1.2189362743316066,In Stock,48.0
D,7564.0,2.576792877375157,In Stock,35.0
D,8555.0,2.3813933482220966,Out of Stock,22.0
B,1870.0,3.0405392671861478,In Stock,32.0
C,439.0,2.364554354883883,In Stock,0.0
A,1425.0,1.8037601301099575,In Stock,15.0
B,1612.0,3.032991895982947,In Stock,16.0
B,1894.0,2.32948814776713,Out of Stock,24.53860160233066
B,8975.0,4.469736333901759,Out of Stock,32.0
C,2297.0,3.0405392671861478,Out of Stock,21.0
B,1493.0,3.3836236749501865,Out of Stock,45.0
B,2602.0,3.0405392671861478,In Stock,0.0
D,5381.0,4.767811269419312,Out of Stock,10.0
B,5429.0,1.746249651651913,In Stock,6.0
B,3365.0,4.175149077636549,In Stock,29.0
B,5220.0,3.0405392671861478,In Stock,0.0
B,381.0,3.0932853971576586,In Stock,17.0
B,8707.0,3.0405392671861478,Out of Stock,39.0
B,3604.0,3.0405392671861478,In Stock,17.0
B,5078.0,4.391163208162469,Out of Stock,6.0
B,8070.0,3.0405392671861478,In Stock,28.0
B,6921.0,3.0405392671861478,Out of Stock,37.0
B,340.0,3.0405392671861478,Out of Stock,27.0
C,9212.0,3.0405392671861478,In Stock,0.0
B,3978.0,3.0405392671861478,Out of Stock,19.0
B,5746.0,3.0405392671861478,Out of Stock,2.0
D,8757.0,3.0405392671861478,In Stock,49.0
D,2001.0,3.0405392671861478,Out of Stock,23.0
B,412.0,3.760118968243407,Out of Stock,21.0
A,4317.0,3.0405392671861478,Out of Stock,13.0
C,8507.0,4.575949016312601,Out of Stock,41.0
B,6784.0,2.0879591139976266,Out of Stock,13.0
B,7635.0,3.0405392671861478,Out of Stock,5.0
B,9529.0,1.4609563879698744,In Stock,31.0
B,5669.0,3.0405392671861478,Out of Stock,38.0
B,5861.0,1.4703921216572344,Out of Stock,40.0
B,2349.0,3.0405392671861478,Out of Stock,48.0
B,5766.0,3.0405392671861478,Out of Stock,3.0
B,7362.0,3.0405392671861478,Out of Stock,33.0
B,3256.0,2.771753928779113,In Stock,45.0
B,9284.0,3.0405392671861478,Out of Stock,45.0
C,8597.0,3.517120302288795,In Stock,23.0
A,8642.0,3.0405392671861478,In Stock,43.0
C,5024.705208333334,3.0405392671861478,Out of Stock,3.0
A,6022.0,3.0405392671861478,In Stock,48.0
B,8132.0,2.7658498345678497,In Stock,15.0
B,3170.0,2.1988624853534624,In Stock,18.0
C,2608.0,1.8730838175058309,In Stock,8.0
B,9544.0,1.508629504337426,In Stock,47.0
B,1959.0,4.96277529037139,Out of Stock,45.0
B,3713.0,3.0405392671861478,Out of Stock,32.0
D,9438.0,3.69118375024206,Out of Stock,36.0
B,395.0,3.0405392671861478,In Stock,24.0
B,6080.0,4.13238174203871,Out of Stock,18.0
C,5296.0,2.7415569027617632,Out of Stock,34.0
B,5348.0,1.5872258080389408,Out of Stock,31.0
B,8369.0,1.7741515707532138,In Stock,44.0
B,3155.0,2.7562541960267173,In Stock,6.0
B,3112.0,3.0405392671861478,Out of Stock,16.0
D,2489.0,4.668760788357387,In Stock,42.0
B,5533.0,3.0405392671861478,In Stock,34.0
B,8603.0,1.8951382789439113,Out of Stock,35.0
B,6989.0,3.0405392671861478,Out of Stock,10.0
D,3064.0,1.783514835878143,Out of Stock,22.0
B,176.0,3.0405392671861478,Out of Stock,33.0
B,8159.0,3.09958403972783,Out of Stock,31.0
A,5080.0,2.1172213117371106,Out of Stock,1.0
B,7027.0,1.8155938044552262,In Stock,24.53860160233066
B,8407.0,1.1340181503447693,Out of Stock,38.0
B,2546.0,1.1583134665091674,Out of Stock,34.0
B,9537.0,3.0405392671861478,Out of Stock,25.0
B,9600.0,3.316477940525572,In Stock,32.0
C,6292.0,1.1557269813348965,Out of Stock,17.0
C,4870.0,3.0405392671861478,Out of Stock,14.0
B,250.0,1.4368825660019104,In Stock,30.0
D,8394.0,1.8188132957807652,Out of Stock,22.0
B,8693.0,3.186790808579415,In Stock,24.0
B,615.0,3.0405392671861478,Out of Stock,2.0
B,4309.0,3.0405392671861478,Out of Stock,17.0
B,2947.0,1.093895333353871,Out of Stock,24.53860160233066
B,2841.0,2.5109712361162835,In Stock,40.0
B,3923.0,1.4750528082467311,In Stock,10.0
B,5658.0,3.963020662718985,In Stock,29.0
B,6759.0,3.0405392671861478,Out of Stock,35.0
B,685.0,3.0405392671861478,Out of Stock,24.0
B,5814.0,4.155485925483445,Out of Stock,12.0
A,6016.0,1.844219155421802,In Stock,1.0
B,5961.0,3.0405392671861478,In Stock,18.0
B,9489.0,3.0405392671861478,In Stock,5.0
B,3892.0,1.9802288812656696,In Stock,6.0
B,6904.0,3.0405392671861478,Out of Stock,36.0
B,663.0,3.084386434089388,Out of Stock,5.0
A,1910.0,4.817531508955957,In Stock,24.53860160233066
B,2804.0,1.3541939976991424,Out of Stock,35.0
B,8800.0,4.3667865198588895,Out of Stock,26.0
B,3689.0,3.0405392671861478,Out of Stock,3.0
